municipality,year,newcomers
adachi,2008,28533
adachi,2009,31389
adachi,2010,27831
adachi,2011,27978
adachi,2012,27850
adachi,2013,27124
adachi,2016,28195
adachi,2018,31040
arakawa,2008,12432
arakawa,2009,12632
arakawa,2010,12106
arakawa,2011,11738
arakawa,2012,11788
arakawa,2013,11460
arakawa,2016,11571
arakawa,2018,12403
bunkyo,2008,15747
bunkyo,2009,15740
bunkyo,2010,16761
bunkyo,2011,16736
bunkyo,2012,16560
bunkyo,2013,17586
bunkyo,2016,17011
bunkyo,2018,17589
chiyoda,2008,5434
chiyoda,2009,6046
chiyoda,2010,5676
chiyoda,2011,5757
chiyoda,2012,6103
chiyoda,2013,7072
chiyoda,2016,6383
chiyoda,2018,7493
chohu,2008,15452
chohu,2009,14991
chohu,2010,13981
chohu,2011,14218
chohu,2012,14433
chohu,2013,13781
chohu,2016,15055
chohu,2018,14469
chuo,2008,15187
chuo,2009,13889
chuo,2010,12992
chuo,2011,13845
chuo,2012,13269
chuo,2013,14186
chuo,2016,15946
chuo,2018,15374
edogawa,2008,33660
edogawa,2009,33044
edogawa,2010,32975
edogawa,2011,30291
edogawa,2012,29592
edogawa,2013,31162
edogawa,2016,32199
edogawa,2018,31131
funabashi,2008,31744
funabashi,2009,32845
funabashi,2010,30214
funabashi,2011,27356
funabashi,2012,27751
funabashi,2013,28945
funabashi,2016,27714
funabashi,2018,28680
ichikawa,2008,29658
ichikawa,2009,29254
ichikawa,2010,26917
ichikawa,2011,25058
ichikawa,2012,24792
ichikawa,2013,26043
ichikawa,2016,26871
ichikawa,2018,26481
itabashi,2008,31443
itabashi,2009,30965
itabashi,2010,29358
itabashi,2011,30024
itabashi,2012,31412
itabashi,2013,30931
itabashi,2016,32655
itabashi,2018,33200
katsushika,2008,19815
katsushika,2009,20560
katsushika,2010,21745
katsushika,2011,18859
katsushika,2012,18730
katsushika,2013,19765
katsushika,2016,20672
katsushika,2018,21315
kawaguchi,2008,22844
kawaguchi,2009,22760
kawaguchi,2010,21266
kawaguchi,2011,23158
kawaguchi,2012,22756
kawaguchi,2013,22671
kawaguchi,2016,21309
kawaguchi,2018,22990
kita,2008,20538
kita,2009,19382
kita,2010,19383
kita,2011,19650
kita,2012,21318
kita,2013,21197
kita,2016,21897
kita,2018,23296
komae,2008,4805
komae,2016,4993
koto,2008,29620
koto,2009,31565
koto,2010,27383
koto,2011,28006
koto,2012,28344
koto,2013,30263
koto,2016,28062
koto,2018,29083
matsudo,2008,23904
matsudo,2009,22906
matsudo,2010,21480
matsudo,2011,19447
matsudo,2012,18754
matsudo,2013,18859
matsudo,2016,20011
matsudo,2018,20801
meguro,2008,20425
meguro,2009,21491
meguro,2010,21891
meguro,2011,22255
meguro,2012,23986
meguro,2013,23717
meguro,2016,22220
meguro,2018,22491
minato,2008,20465
minato,2009,20072
minato,2010,20813
minato,2011,20579
minato,2012,21295
minato,2013,21781
minato,2016,21052
minato,2018,20132
misato,2008,4861
misato,2009,5227
misato,2010,5516
misato,2011,5293
misato,2012,5661
misato,2013,5810
misato,2016,5902
misato,2018,6468
mitaka,2008,11515
mitaka,2009,12502
mitaka,2010,11197
mitaka,2011,11430
mitaka,2012,11836
mitaka,2013,11557
mitaka,2016,12483
mitaka,2018,11033
musashino,2008,9645
musashino,2009,10400
musashino,2010,10510
musashino,2011,9794
musashino,2012,10750
musashino,2013,11100
musashino,2016,9874
musashino,2018,10345
nakano,2008,24864
nakano,2009,25637
nakano,2010,25769
nakano,2011,26372
nakano,2012,27323
nakano,2013,27222
nakano,2016,26519
nakano,2018,26432
narashino,2008,9051
narashino,2009,8878
narashino,2010,9196
narashino,2011,8591
narashino,2012,7900
narashino,2013,9579
narashino,2016,9998
narashino,2018,8337
nerima,2008,40575
nerima,2009,41213
nerima,2010,39565
nerima,2011,39856
nerima,2012,40014
nerima,2013,39207
nerima,2016,40088
nerima,2018,40939
ota,2008,39092
ota,2009,38874
ota,2010,37039
ota,2011,37809
ota,2012,39132
ota,2013,40770
ota,2016,41320
ota,2018,43444
setagaya,2008,55695
setagaya,2009,56252
setagaya,2010,57278
setagaya,2011,57707
setagaya,2012,57794
setagaya,2013,58826
setagaya,2016,57908
setagaya,2018,57683
shibuya,2008,18507
shibuya,2009,19661
shibuya,2010,19652
shibuya,2011,20709
shibuya,2012,20881
shibuya,2013,21329
shibuya,2016,19564
shibuya,2018,19255
shinagawa,2008,25783
shinagawa,2009,26844
shinagawa,2010,26717
shinagawa,2011,26185
shinagawa,2012,26951
shinagawa,2013,26849
shinagawa,2016,27386
shinagawa,2018,30021
shinjuku,2008,27788
shinjuku,2009,27827
shinjuku,2010,28256
shinjuku,2011,28056
shinjuku,2012,29217
shinjuku,2013,29214
shinjuku,2016,27701
shinjuku,2018,29035
soka,2008,11150
soka,2009,10597
soka,2010,10425
soka,2011,10680
soka,2012,9669
soka,2013,9598
soka,2016,9747
soka,2018,10097
suginami,2008,39785
suginami,2009,39192
suginami,2010,38649
suginami,2011,38642
suginami,2012,39496
suginami,2013,40017
suginami,2016,39414
suginami,2018,39097
sumida,2008,15014
sumida,2009,16086
sumida,2010,15722
sumida,2011,14870
sumida,2012,16598
sumida,2013,17169
sumida,2016,17983
sumida,2018,18787
taito,2008,12456
taito,2009,12981
taito,2010,13305
taito,2011,13235
taito,2012,14758
taito,2013,14051
taito,2016,14224
taito,2018,15728
toda,2008,7984
toda,2009,7725
toda,2010,8612
toda,2011,8296
toda,2012,8519
toda,2013,8017
toda,2016,7790
toda,2018,7231
toshima,2008,21057
toshima,2009,21724
toshima,2010,22089
toshima,2011,23425
toshima,2012,22670
toshima,2013,22723
toshima,2016,21776
toshima,2018,21903
urayasu,2008,12333
urayasu,2009,10859
urayasu,2010,10236
urayasu,2011,9090
urayasu,2012,8410
urayasu,2013,9293
urayasu,2016,9947
wako,2008,6958
wako,2009,6970
wako,2010,6350
wako,2011,6499
wako,2012,6346
wako,2013,6568
wako,2016,6595
wako,2018,6876
yashio,2008,4253
yashio,2009,3871
yashio,2010,3409
yashio,2011,3865
yashio,2012,3878
yashio,2013,3810
yashio,2016,4307
yashio,2018,5452
