municipality,year,treat,newcomers,rents,popu
shibuya,2008,1,18507.0,1191300.0,469
shibuya,2009,1,19661.0,1042300.0,472
shibuya,2010,1,19652.0,949000.0,457
shibuya,2011,1,20709.0,980600.0,421
shibuya,2012,1,20881.0,964200.0,374
shibuya,2013,1,21329.0,961900.0,433
shibuya,2014,1,19949.0,482600.4504504505,469
shibuya,2015,1,20873.0,482600.4504504505,584
shibuya,2016,1,19564.0,1054000.0,705
shibuya,2017,1,19679.0,1098050.0,799
shibuya,2018,1,19255.0,1142100.0,884
shibuya,2019,1,26574.4,482600.4504504505,943
shibuya,2020,1,26574.4,482600.4504504505,829
shibuya,2021,1,26574.4,482600.4504504505,854
